0	419
0	9344
0	9487
1	391
1	9380
1	9524
2	389
2	9537
2	9549
3	385
3	9383
3	9527
4	394
4	9371
4	9514
5	396
5	9352
5	9496
6	387
6	9373
6	9517
7	398
7	9348
7	9492
8	384
8	9369
8	9513
9	386
9	9381
9	9525
10	425
10	9356
10	9500
11	400
11	9374
11	9518
12	390
12	9539
12	9551
13	172
13	360
13	407
14	392
14	9375
14	9520
15	399
15	9351
15	9495
16	388
16	9376
16	9519
17	397
17	9345
17	9489
18	393
18	9386
18	9530
19	410
19	9343
19	9488
20	401
20	9355
20	9499
21	166
21	359
21	408
22	395
22	9370
22	9516
23	165
23	378
23	428
24	163
24	354
24	402
25	167
25	357
25	405
26	171
26	363
26	411
27	164
27	355
27	406
28	168
28	356
28	403
29	170
29	358
29	404
30	409
30	9353
30	9497
31	424
31	9350
31	9493
32	412
32	9433
32	9535
33	414
33	9347
33	9491
34	413
34	9372
34	9515
35	416
35	9354
35	9498
36	178
36	366
36	415
37	180
37	369
37	422
38	181
38	371
38	417
39	182
39	373
39	420
40	418
40	9349
40	9494
41	427
41	9362
41	9506
42	187
42	379
42	426
43	430
43	9346
43	9490
44	190
44	383
44	431
45	421
45	9378
45	9521
46	186
46	375
46	423
47	429
47	9377
47	9522
48	144
48	198
48	9419
49	146
49	192
49	9541
50	147
50	197
50	9431
51	145
51	232
51	9417
52	148
52	193
52	9421
53	150
53	246
53	9428
54	149
54	244
54	9429
55	151
55	223
55	9423
56	153
56	204
56	9543
57	152
57	194
57	9424
58	174
58	209
58	9392
59	154
59	250
59	9400
60	155
60	217
60	9396
61	156
61	203
61	9404
62	157
62	251
62	9434
63	158
63	195
63	9418
64	159
64	208
64	9399
65	161
65	256
65	9422
66	160
66	233
66	9393
67	130
67	165
67	225
68	162
68	257
68	9403
69	172
69	265
69	548
70	115
70	164
70	222
71	166
71	261
71	553
72	138
72	163
72	234
73	169
73	205
73	9391
74	171
74	267
74	557
75	123
75	167
75	214
76	142
76	168
76	238
77	173
77	201
77	9401
78	118
78	170
78	210
79	175
79	199
79	9481
80	176
80	200
80	9420
81	184
81	236
81	9397
82	177
82	226
82	9395
83	179
83	224
83	9402
84	119
84	178
84	212
85	133
85	180
85	229
86	139
86	181
86	235
87	182
87	276
87	565
88	183
88	206
88	9398
89	185
89	239
89	9426
90	122
90	186
90	218
91	124
91	187
91	219
92	188
92	284
92	9410
93	189
93	230
93	9394
94	134
94	190
94	231
95	191
95	285
95	9425
96	49
96	192
96	241
97	57
97	194
97	242
98	63
98	195
98	243
99	52
99	193
99	240
100	196
100	245
100	9325
101	50
101	197
101	244
102	48
102	198
102	246
103	202
103	249
103	9327
104	79
104	199
104	247
105	80
105	200
105	248
106	56
106	204
106	251
107	82
107	226
107	277
108	207
108	252
108	9322
109	77
109	201
109	250
110	61
110	203
110	253
111	220
111	279
111	9308
112	88
112	206
112	255
113	58
113	209
113	256
114	73
114	205
114	254
115	70
115	222
115	280
116	64
116	208
116	257
117	211
117	258
117	355
118	78
118	210
118	259
119	84
119	212
119	261
120	215
120	266
120	9295
121	213
121	260
121	357
122	90
122	218
122	265
123	75
123	214
123	262
124	91
124	219
124	267
125	216
125	263
125	358
126	60
126	217
126	264
127	221
127	268
127	9385
128	55
128	223
128	269
129	83
129	224
129	271
130	67
130	225
130	270
131	227
131	272
131	9307
132	228
132	273
132	369
133	85
133	229
133	274
134	94
134	231
134	276
135	93
135	230
135	275
136	66
136	233
136	282
137	51
137	232
137	278
138	72
138	234
138	281
139	86
139	235
139	283
140	81
140	236
140	284
141	237
141	286
141	9298
142	76
142	238
142	287
143	89
143	239
143	285
144	241
144	289
144	501
145	240
145	288
145	480
146	243
146	292
146	484
147	242
147	290
147	481
148	245
148	293
148	483
149	244
149	291
149	482
150	246
150	294
150	486
151	249
151	297
151	488
152	247
152	295
152	485
153	248
153	296
153	487
154	250
154	298
154	491
155	253
155	301
155	493
156	279
156	329
156	524
157	251
157	299
157	489
158	252
158	300
158	490
159	255
159	303
159	494
160	254
160	302
160	492
161	256
161	304
161	495
162	257
162	305
162	497
163	259
163	306
163	496
164	258
164	307
164	502
165	280
165	330
165	525
166	261
166	310
166	504
167	260
167	309
167	503
168	262
168	308
168	500
169	266
169	314
169	507
170	263
170	311
170	499
171	267
171	315
171	508
172	265
172	313
172	498
173	264
173	312
173	506
174	277
174	325
174	516
175	268
175	316
175	505
176	269
176	317
176	509
177	271
177	319
177	510
178	270
178	318
178	511
179	272
179	320
179	512
180	273
180	321
180	519
181	274
181	322
181	513
182	276
182	324
182	517
183	275
183	323
183	514
184	282
184	328
184	520
185	278
185	326
185	515
186	281
186	327
186	518
187	283
187	331
187	521
188	284
188	332
188	522
189	286
189	334
189	526
190	287
190	335
190	527
191	285
191	333
191	523
192	49
192	338
192	450
193	52
193	336
193	432
194	57
194	337
194	433
195	63
195	340
195	437
196	100
196	341
196	435
197	50
197	339
197	434
198	48
198	343
198	439
199	79
199	342
199	436
200	80
200	344
200	438
201	77
201	346
201	443
202	103
202	345
202	440
203	61
203	349
203	445
204	56
204	347
204	441
205	73
205	350
205	444
206	88
206	351
206	446
207	108
207	348
207	442
208	64
208	353
208	449
209	58
209	352
209	447
210	78
210	354
210	448
211	117
211	355
211	455
212	84
212	359
212	456
213	121
213	357
213	454
214	75
214	356
214	451
215	120
215	362
215	458
216	125
216	358
216	453
217	60
217	361
217	459
218	90
218	360
218	452
219	91
219	363
219	460
220	111
220	377
220	476
221	127
221	364
221	457
222	70
222	378
222	477
223	55
223	365
223	461
224	83
224	367
224	462
225	67
225	366
225	463
